id_ponto,id_cego,ano,estrato_mapeado,linha,coluna,x_utm36s,y_utm36s
2020-033,2020-C034,2020,nao_construido,345,773,576607.2,8220635.3
2020-034,2020-C033,2020,nao_construido,357,1956,612097.2,8220275.3
2020-035,2020-C038,2020,nao_construido,365,1099,586387.2,8220035.3
2020-036,2020-C011,2020,nao_construido,507,764,576337.2,8215775.3
2020-037,2020-C028,2020,nao_construido,523,1727,605227.2,8215295.3
2020-038,2020-C039,2020,nao_construido,627,869,579487.2,8212175.3
2020-039,2020-C031,2020,nao_construido,721,1935,611467.2,8209355.3
2020-040,2020-C040,2020,nao_construido,794,337,563527.2,8207165.3
2020-041,2020-C042,2020,nao_construido,828,993,583207.2,8206145.3
2020-042,2020-C004,2020,nao_construido,876,475,567667.2,8204705.3
2020-043,2020-C044,2020,nao_construido,1126,452,566977.2,8197205.3
2020-044,2020-C003,2020,nao_construido,1167,411,565747.2,8195975.3
2020-045,2020-C030,2020,nao_construido,1229,1246,590797.2,8194115.3
2020-046,2020-C032,2020,nao_construido,1233,1709,604687.2,8193995.3
2020-047,2020-C014,2020,nao_construido,1238,1977,612727.2,8193845.3
2020-048,2020-C025,2020,nao_construido,1244,112,556777.2,8193665.3
2025-001,2025-C047,2025,construido,400,531,569347.2,8218985.3
2025-002,2025-C040,2025,construido,402,427,566227.2,8218925.3
2025-003,2025-C030,2025,construido,418,810,577717.2,8218445.3
2025-004,2025-C045,2025,construido,419,888,580057.2,8218415.3
2025-005,2025-C029,2025,construido,447,804,577537.2,8217575.3
2025-006,2025-C021,2025,construido,480,453,567007.2,8216585.3
2025-007,2025-C012,2025,construido,500,385,564967.2,8215985.3
2025-008,2025-C009,2025,construido,505,390,565117.2,8215835.3
2025-009,2025-C014,2025,construido,524,386,564997.2,8215265.3
2025-010,2025-C026,2025,construido,528,411,565747.2,8215145.3
2025-011,2025-C025,2025,construido,532,491,568147.2,8215025.3
2025-012,2025-C022,2025,construido,546,428,566257.2,8214605.3
2025-013,2025-C041,2025,construido,552,214,559837.2,8214425.3
2025-014,2025-C034,2025,construido,559,449,566887.2,8214215.3
2025-015,2025-C010,2025,construido,560,228,560257.2,8214185.3
2025-016,2025-C002,2025,construido,564,286,561997.2,8214065.3
2025-017,2025-C015,2025,construido,574,386,564997.2,8213765.3
2025-018,2025-C018,2025,construido,590,248,560857.2,8213285.3
2025-019,2025-C008,2025,construido,611,1051,584947.2,8212655.3
2025-020,2025-C042,2025,construido,620,250,560917.2,8212385.3
2025-021,2025-C032,2025,construido,620,330,563317.2,8212385.3
2025-022,2025-C007,2025,construido,662,285,561967.2,8211125.3
2025-023,2025-C038,2025,construido,734,332,563377.2,8208965.3
2025-024,2025-C001,2025,construido,741,333,563407.2,8208755.3
2025-025,2025-C004,2025,nao_construido,121,1489,598087.2,8227355.3
2025-026,2025-C028,2025,nao_construido,129,570,570517.2,8227115.3
2025-027,2025-C039,2025,nao_construido,168,1039,584587.2,8225945.3
2025-028,2025-C033,2025,nao_construido,218,1927,611227.2,8224445.3
2025-029,2025-C005,2025,nao_construido,264,1321,593047.2,8223065.3
2025-030,2025-C019,2025,nao_construido,311,1025,584167.2,8221655.3
2025-031,2025-C023,2025,nao_construido,327,1177,588727.2,8221175.3
2025-032,2025-C037,2025,nao_construido,394,1606,601597.2,8219165.3
2025-033,2025-C011,2025,nao_construido,451,1486,597997.2,8217455.3
2025-034,2025-C020,2025,nao_construido,696,1995,613267.2,8210105.3
2025-035,2025-C006,2025,nao_construido,714,528,569257.2,8209565.3
2025-036,2025-C031,2025,nao_construido,715,1785,606967.2,8209535.3
2025-037,2025-C017,2025,nao_construido,860,1850,608917.2,8205185.3
2025-038,2025-C046,2025,nao_construido,905,1049,584887.2,8203835.3
2025-039,2025-C016,2025,nao_construido,947,504,568537.2,8202575.3
2025-040,2025-C003,2025,nao_construido,962,537,569527.2,8202125.3
2025-041,2025-C027,2025,nao_construido,1029,632,572377.2,8200115.3
2025-042,2025-C043,2025,nao_construido,1032,1152,587977.2,8200025.3
2025-043,2025-C024,2025,nao_construido,1045,661,573247.2,8199635.3
2025-044,2025-C035,2025,nao_construido,1128,2056,615097.2,8197145.3
2025-045,2025-C013,2025,nao_construido,1165,334,563437.2,8196035.3
2025-046,2025-C036,2025,nao_construido,1180,249,560887.2,8195585.3
2025-047,2025-C044,2025,nao_construido,1192,2000,613417.2,8195225.3
2025-048,2025-C048,2025,nao_construido,1235,1464,597337.2,8193935.3
