unidade_geografica,ano,variavel,valor,unidade_medida,selo,nivel_fonte,fonte,metodo,nota
Mercado mundial,2020,preco_carvao_africa_do_sul,65.7,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2021,preco_carvao_africa_do_sul,119.8,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2022,preco_carvao_africa_do_sul,240.6,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2023,preco_carvao_africa_do_sul,119.1,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2024,preco_carvao_africa_do_sul,105.8,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2025,preco_carvao_africa_do_sul,94.9,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2000,preco_carvao_australia,26.3,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2001,preco_carvao_australia,32.3,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2002,preco_carvao_australia,25.3,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2003,preco_carvao_australia,26.1,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2004,preco_carvao_australia,52.9,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2005,preco_carvao_australia,47.6,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2006,preco_carvao_australia,49.1,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2007,preco_carvao_australia,65.7,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2008,preco_carvao_australia,127.1,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2009,preco_carvao_australia,71.8,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2010,preco_carvao_australia,99.0,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2011,preco_carvao_australia,121.4,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2012,preco_carvao_australia,96.4,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2013,preco_carvao_australia,84.6,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2014,preco_carvao_australia,70.1,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2015,preco_carvao_australia,58.9,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2016,preco_carvao_australia,66.1,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2017,preco_carvao_australia,88.5,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2018,preco_carvao_australia,107.0,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2019,preco_carvao_australia,77.9,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2020,preco_carvao_australia,60.8,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2021,preco_carvao_australia,138.1,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2022,preco_carvao_australia,344.9,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2023,preco_carvao_australia,172.8,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2024,preco_carvao_australia,136.1,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2025,preco_carvao_australia,108.4,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
