familia,unidade_geografica,ano,variavel,valor,unidade_medida,selo,nivel_fonte,fonte,metodo,nota,comparabilidade
demografia,Cidade de Tete,2025,populacao_total_residente,460248.0,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",projeção demográfica institucional do INE (método interno não publicado),"Projeção institucional do INE, não recontagem. Método de projeção não publicado no dataset. Risco de circularidade para H4 (§1): se a projeção assume taxa geométrica fixa, não pode por construção revelar desaceleração real — usar só com esta ressalva visível (data/DATA_AUDIT.md §0, item 2).",projeção INE
demografia,Distrito de Moatize,2017,cagr_2007_2017,1.947,%/ano,observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) ; HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv",CAGR geométrico: (pop_2017/pop_2007)^(1/10)-1,"CAGR geométrico entre 2007 (observado, nível C) e 2017 (observado, nível A): (pop_2017/pop_2007)^(1/10)-1. nivel_fonte desta linha é o pior das duas pontas (A<B<C<ausente).",limites do distrito mudaram entre censos — não garantida
demografia,Distrito de Moatize,2025,cagr_2017_2025,3.71,%/ano,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv ; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",CAGR geométrico: (pop_2025/pop_2017)^(1/8)-1,"CAGR geométrico entre 2017 (observado, nível A) e 2025 (modelado, nível A): (pop_2025/pop_2017)^(1/8)-1. nivel_fonte desta linha é o pior das duas pontas (A<B<C<ausente). Uma das pontas é projeção institucional (2025) — herda o risco de circularidade já registrado em reconstrucao_demografica.py: não usar como evidência independente de aceleração/desaceleração.",projeção INE
demografia,Distrito de Moatize,2007,indice_base_2007,100.0,índice (base=100),observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback)",valor_2007 / valor_2007 * 100,base 2007 = 100. nível da linha = pior nível entre 2007 (C) e 2007 (C).,limites do distrito mudaram entre censos — não garantida
demografia,Distrito de Moatize,2017,indice_base_2007,121.27,índice (base=100),observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) ; HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv",valor_2017 / valor_2007 * 100,base 2007 = 100. nível da linha = pior nível entre 2007 (C) e 2017 (A).,limites do distrito mudaram entre censos — não garantida
demografia,Distrito de Moatize,2025,indice_base_2007,162.3,índice (base=100),modelado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) ; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",valor_2025 / valor_2007 * 100,base 2007 = 100. nível da linha = pior nível entre 2007 (C) e 2025 (A).,projeção INE
demografia,Distrito de Moatize,1997,populacao_total_residente,,pessoas,observado,ausente,nenhuma fonte A ou B localizada,não recuperado,"Valor de §8 (109.103) é citação de agregador, sem reprocessador A/B localizado. UNSD só lista city proper (Moatize era distrito majoritariamente rural em 1997). CIESIN/SEDAC, via mais promissora, ficou fora do ar durante toda a janela de busca — 'via não esgotada por indisponibilidade', não 'dado inexistente'. Reexecutar quando o domínio voltar.",limites do distrito mudaram entre censos — não garantida
demografia,Distrito de Moatize,2007,populacao_total_residente,215092.0,pessoas,observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback)","contagem censitária (III RGPH 2007), lida diretamente do documento primário","mesma razão da linha acima (nível C, §4.0 regra 1).",limites do distrito mudaram entre censos — não garantida
demografia,Distrito de Moatize,2017,populacao_total_residente,260843.0,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv","contagem censitária (IV RGPH 2017), reprocessada por COD-PS","Contagem residente do IV RGPH 2017 reprocessada pelo COD-PS (CC BY-IGO, nível A independente do documento do INE, que é nível C — data/DATA_AUDIT.md §0.1). NÃO ajustada pela sub-enumeração: para a Província de Tete (unidade pertinente a este estudo, todas as suas unidades sendo em Tete) a taxa é 3,8%; a taxa nacional é uma grandeza distinta, 3,7% — não são duas medidas da mesma coisa, e não se fundem numa faixa (verificado: o total do quadro provincial bate com a 'População Residente' não ajustada, não com o total ajustado da brochura nacional — data/provenance_parts/demograficas.md).",limites do distrito mudaram entre censos — não garantida
demografia,Distrito de Moatize,2025,populacao_total_residente,349103.0,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",projeção demográfica institucional do INE (método interno não publicado),"Projeção institucional do INE, não recontagem. Método de projeção não publicado no dataset. Risco de circularidade para H4 (§1): se a projeção assume taxa geométrica fixa, não pode por construção revelar desaceleração real — usar só com esta ressalva visível (data/DATA_AUDIT.md §0, item 2).",projeção INE
demografia,Moçambique,2017,cagr_2007_2017,2.123,%/ano,observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional) ; HDX COD-PS (UNFPA/OCHA), vintage 2017, soma dos ADM2 por nome de província — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv",CAGR geométrico: (pop_2017/pop_2007)^(1/10)-1,"CAGR geométrico entre 2007 (observado, nível C) e 2017 (observado, nível A): (pop_2017/pop_2007)^(1/10)-1. nivel_fonte desta linha é o pior das duas pontas (A<B<C<ausente).",ok
demografia,Moçambique,2025,cagr_2017_2025,3.406,%/ano,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, soma dos ADM2 por nome de província — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv ; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE, soma dos ADM2 por nome — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",CAGR geométrico: (pop_2025/pop_2017)^(1/8)-1,"CAGR geométrico entre 2017 (observado, nível A) e 2025 (modelado, nível A): (pop_2025/pop_2017)^(1/8)-1. nivel_fonte desta linha é o pior das duas pontas (A<B<C<ausente). Uma das pontas é projeção institucional (2025) — herda o risco de circularidade já registrado em reconstrucao_demografica.py: não usar como evidência independente de aceleração/desaceleração.",projeção INE
demografia,Moçambique,2007,indice_base_2007,100.0,índice (base=100),observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional)",valor_2007 / valor_2007 * 100,base 2007 = 100. nível da linha = pior nível entre 2007 (C) e 2007 (C).,ok
demografia,Moçambique,2017,indice_base_2007,123.37,índice (base=100),observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional) ; HDX COD-PS (UNFPA/OCHA), vintage 2017, soma dos ADM2 por nome de província — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv",valor_2017 / valor_2007 * 100,base 2007 = 100. nível da linha = pior nível entre 2007 (C) e 2017 (A).,ok
demografia,Moçambique,2025,indice_base_2007,161.28,índice (base=100),modelado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional) ; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE, soma dos ADM2 por nome — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",valor_2025 / valor_2007 * 100,base 2007 = 100. nível da linha = pior nível entre 2007 (C) e 2025 (A).,projeção INE
demografia,Moçambique,2007,populacao_total_residente,21802866.0,pessoas,observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional)","contagem censitária (III RGPH 2007), rodapé 'POP_Total(2007)' lido por parse automático do documento primário (não transcrito à mão)",Sem texto de licença localizável no documento (nível C); sem reprocessador A/B alternativo para 2007 no nível nacional.,ok
demografia,Moçambique,2017,populacao_total_residente,26899102.0,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, soma dos ADM2 por nome de província — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv",soma dos T_TL de todos os ADM2 do COD-PS 2017,"Decisão do usuário (2026-09-09): total nacional = soma do COD-PS, mesma base residente dos distritos, não o total 'ajustado' pela sub-enumeração do INE. Divergência frente à 'população residente a 1 de agosto de 2017' publicada pelo INE (26899105): +3 pessoas (soma COD-PS = 26899102).",ok
demografia,Moçambique,2025,populacao_total_residente,35163992.0,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE, soma dos ADM2 por nome — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",soma dos T_TL de todos os ADM2 do COD-PS 2025 (projeção institucional do INE),"Projeção, não recontagem — mesma ressalva de circularidade do núcleo 2025.",projeção INE
demografia,Província de Tete,2017,cagr_2007_2017,3.645,%/ano,observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional) ; HDX COD-PS (UNFPA/OCHA), vintage 2017, soma dos ADM2 por nome de província — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv",CAGR geométrico: (pop_2017/pop_2007)^(1/10)-1,"CAGR geométrico entre 2007 (observado, nível C) e 2017 (observado, nível A): (pop_2017/pop_2007)^(1/10)-1. nivel_fonte desta linha é o pior das duas pontas (A<B<C<ausente).",ok
demografia,Província de Tete,2025,cagr_2017_2025,3.777,%/ano,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, soma dos ADM2 por nome de província — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv ; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE, soma dos ADM2 por nome — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",CAGR geométrico: (pop_2025/pop_2017)^(1/8)-1,"CAGR geométrico entre 2017 (observado, nível A) e 2025 (modelado, nível A): (pop_2025/pop_2017)^(1/8)-1. nivel_fonte desta linha é o pior das duas pontas (A<B<C<ausente). Uma das pontas é projeção institucional (2025) — herda o risco de circularidade já registrado em reconstrucao_demografica.py: não usar como evidência independente de aceleração/desaceleração.",projeção INE
demografia,Província de Tete,2007,indice_base_2007,100.0,índice (base=100),observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional)",valor_2007 / valor_2007 * 100,base 2007 = 100. nível da linha = pior nível entre 2007 (C) e 2007 (C).,ok
demografia,Província de Tete,2017,indice_base_2007,143.04,índice (base=100),observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional) ; HDX COD-PS (UNFPA/OCHA), vintage 2017, soma dos ADM2 por nome de província — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv",valor_2017 / valor_2007 * 100,base 2007 = 100. nível da linha = pior nível entre 2007 (C) e 2017 (A).,ok
demografia,Província de Tete,2025,indice_base_2007,192.43,índice (base=100),modelado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional) ; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE, soma dos ADM2 por nome — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",valor_2025 / valor_2007 * 100,base 2007 = 100. nível da linha = pior nível entre 2007 (C) e 2025 (A).,projeção INE
demografia,Província de Tete,2007,populacao_total_residente,1783967.0,pessoas,observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) — parse programático da linha 'T O T A L' (província) e do rodapé 'POP_Total(2007)' (nacional)","contagem censitária (III RGPH 2007), linha 'T O T A L' lida por parse automático do documento primário (não transcrita à mão)","Sem texto de licença localizável no documento (nível C, §4.0 regra 1); sem reprocessador A/B alternativo para 2007 no nível provincial.",ok
demografia,Província de Tete,2017,populacao_total_residente,2551824.0,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, soma dos ADM2 por nome de província — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv","soma dos T_TL de todos os ADM2 com ADM1_PT == 'Tete' (por nome, nunca por P-code — MZ10 do COD-PS é Matutuine/Maputo no COD-AB)",Confere com a 'população residente' publicada pelo INE (2551826) dentro da tolerância declarada (diferença observada: -2).,ok
demografia,Província de Tete,2025,populacao_total_residente,3432961.0,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE, soma dos ADM2 por nome — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv","soma dos T_TL de todos os ADM2 com ADM1_PT == 'Tete', vintage 2025 (projeção institucional do INE, método interno não publicado)","Projeção, não recontagem — mesma ressalva de circularidade do núcleo 2025 (ver reconstrucao_demografica.py).",projeção INE
demografia,Vila de Moatize,2017,indice_base_2017,100.0,índice (base=100),modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif; `valor` = soma do cluster de Voronoi 'moatize_vila' SEM peso de construído (teto validado) — ver pipeline/02_metrics/populacao_vila_moatize.py",valor_2017 / valor_2017 * 100,base 2017 = 100. nível da linha = pior nível entre 2017 (A) e 2017 (A).,"estimativa dasimétrica de terceiros, não contagem — `valor` é o TETO da banda (variante validada em Cidade de Tete, +1,61%), não um valor central; não comparável a populacao_total_residente de unidades com fonte censitária direta sem essa ressalva; ver nota para piso e desvio de validação de cada variante"
demografia,Vila de Moatize,2017,populacao_total_residente,69301.3,pessoas,modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif; `valor` = soma do cluster de Voronoi 'moatize_vila' SEM peso de construído (teto validado) — ver pipeline/02_metrics/populacao_vila_moatize.py","soma célula a célula do GRID3 (grade nativa, nunca reprojetada/reamostrada) no cluster de Voronoi 'moatize_vila' (vizinho mais próximo entre os quatro pontos-sede, _common.atribuir_unidade_mais_proxima_grade_completa); nenhum peso de máscara construída aplicado a este valor — variantes restritas por construído (fração e pertença) publicadas em piso/nota, não em `valor`","Estimativa dasimétrica de TERCEIROS, não contagem: soma da grade GRID3 v1.1 (WorldPop/Southampton, calibrada ao Censo 2017, CC BY 4.0) dentro do cluster de Voronoi 'moatize_vila' (nenhum limite administrativo aberto para a vila — ver pipeline/02_metrics/_common.py). `valor` publicado aqui = TETO (69301) = soma do GRID3 no cluster inteiro, SEM peso de construído — a ÚNICA variante que validou em Cidade de Tete (ver abaixo); inclui a área rural do cluster atribuída à sede mais próxima, logo é limite SUPERIOR para a vila, não um valor central. `piso` = 15192 = menor das quatro variantes restritas por construído (classificação própria, GHSL, pertença binária, pertença por mediana — corte por np.quantile, ADR 0014). Variantes individuais: classificação própria 29009, GHSL BUILT-S 15192, pertença binária 40444, pertença por mediana 24630. Validação cruzada do MESMO método em Cidade de Tete contra os 307338 habitantes observados (HDX COD-PS 2017): desvio -40.4% (classificação própria), -74.5% (GHSL), -25.2% (pertença binária), -50.4% (pertença por mediana), +1.6% (sem peso de construído = TETO). TODA variante restrita por construído SUBESTIMA o observado — o GRID3 já é dasimétrico (calibrado ao Censo 2017) e pesá-lo de novo pela máscara de construído restringe a população duas vezes. A estimativa da Vila herda esse viés: o piso publicado é mais provável de subestimar do que de superestimar a população real. Um único ano — não há série, não há CAGR.","estimativa dasimétrica de terceiros, não contagem — `valor` é o TETO da banda (variante validada em Cidade de Tete, +1,61%), não um valor central; não comparável a populacao_total_residente de unidades com fonte censitária direta sem essa ressalva; ver nota para piso e desvio de validação de cada variante"
