familia,unidade_geografica,ano,variavel,valor,unidade_medida,selo,nivel_fonte,fonte,metodo,nota
demografia,Distrito de Moatize,2017,populacao_mulheres,133633,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv","contagem censitária (IV RGPH 2017), reprocessada por COD-PS","Contagem residente do IV RGPH 2017 reprocessada pelo COD-PS (CC BY-IGO, nível A independente do documento do INE, que é nível C — data/DATA_AUDIT.md §0.1). NÃO ajustada pela subenumeração de 3,7-3,8% (verificado: o total do quadro provincial bate com a 'População Residente' não ajustada, não com o total ajustado da brochura nacional — data/provenance_parts/demograficas.md)."
demografia,Distrito de Moatize,2025,populacao_mulheres,177882,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",projeção demográfica institucional do INE (método interno não publicado),"Projeção institucional do INE, não recontagem. Método de projeção não publicado no dataset. Risco de circularidade para H4 (§1): se a projeção assume taxa geométrica fixa, não pode por construção revelar desaceleração real — usar só com esta ressalva visível (data/DATA_AUDIT.md §0, item 2)."
demografia,Distrito de Moatize,2017,populacao_total_residente,260843,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv","contagem censitária (IV RGPH 2017), reprocessada por COD-PS","Contagem residente do IV RGPH 2017 reprocessada pelo COD-PS (CC BY-IGO, nível A independente do documento do INE, que é nível C — data/DATA_AUDIT.md §0.1). NÃO ajustada pela subenumeração de 3,7-3,8% (verificado: o total do quadro provincial bate com a 'População Residente' não ajustada, não com o total ajustado da brochura nacional — data/provenance_parts/demograficas.md)."
demografia,Distrito de Moatize,2025,populacao_total_residente,349103,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",projeção demográfica institucional do INE (método interno não publicado),"Projeção institucional do INE, não recontagem. Método de projeção não publicado no dataset. Risco de circularidade para H4 (§1): se a projeção assume taxa geométrica fixa, não pode por construção revelar desaceleração real — usar só com esta ressalva visível (data/DATA_AUDIT.md §0, item 2)."
forma_urbana,aoi,2000,area_media_manchas_km2_industrial,,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2000_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=0. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2005,area_media_manchas_km2_industrial,,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2005_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=0. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2010,area_media_manchas_km2_industrial,0.0312,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2010_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=8281. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida. 2010 usa Landsat 7 SLC-off (docs/ADR/0005): 26,64% dos pixels da AOI têm menos de 4 observações válidas no composto de estação seca (data/interim/slc_off_2010_cobertura.csv). Métricas derivadas da classificação própria de 2010 (ou de período que usa 2010 como t0/t1) herdam essa cobertura desigual — não é um viés de comissão adicional, é ruído de amostragem de composto que pode inflar heterogeneidade espacial espúria (manchas, densidade de borda, tipologia)."
forma_urbana,aoi,2015,area_media_manchas_km2_industrial,0.1073,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2015_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=33503. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2020,area_media_manchas_km2_industrial,0.1895,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2020_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=51592. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2025,area_media_manchas_km2_industrial,0.3005,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2025_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=69443. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2000,area_media_manchas_km2_reassentamento,,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2000_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=0. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2005,area_media_manchas_km2_reassentamento,,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2005_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=0. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2010,area_media_manchas_km2_reassentamento,1.2042,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2010_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=1338. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida. 2010 usa Landsat 7 SLC-off (docs/ADR/0005): 26,64% dos pixels da AOI têm menos de 4 observações válidas no composto de estação seca (data/interim/slc_off_2010_cobertura.csv). Métricas derivadas da classificação própria de 2010 (ou de período que usa 2010 como t0/t1) herdam essa cobertura desigual — não é um viés de comissão adicional, é ruído de amostragem de composto que pode inflar heterogeneidade espacial espúria (manchas, densidade de borda, tipologia)."
forma_urbana,aoi,2015,area_media_manchas_km2_reassentamento,0.0495,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2015_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=2145. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2020,area_media_manchas_km2_reassentamento,0.05,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2020_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=2223. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2025,area_media_manchas_km2_reassentamento,0.0539,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2025_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=2574. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2000,area_media_manchas_km2_urbano,0.0551,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2000_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=15604. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2005,area_media_manchas_km2_urbano,0.0606,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2005_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=23036. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2010,area_media_manchas_km2_urbano,0.0834,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2010_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=31404. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida. 2010 usa Landsat 7 SLC-off (docs/ADR/0005): 26,64% dos pixels da AOI têm menos de 4 observações válidas no composto de estação seca (data/interim/slc_off_2010_cobertura.csv). Métricas derivadas da classificação própria de 2010 (ou de período que usa 2010 como t0/t1) herdam essa cobertura desigual — não é um viés de comissão adicional, é ruído de amostragem de composto que pode inflar heterogeneidade espacial espúria (manchas, densidade de borda, tipologia)."
forma_urbana,aoi,2015,area_media_manchas_km2_urbano,0.0967,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2015_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=40845. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2020,area_media_manchas_km2_urbano,0.0968,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2020_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=43562. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2025,area_media_manchas_km2_urbano,0.0917,km2,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2025_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=47598. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2000,densidade_borda_m_ha_industrial,,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2000_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=0. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2005,densidade_borda_m_ha_industrial,,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2005_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=0. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2010,densidade_borda_m_ha_industrial,0.7179,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2010_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=8281. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida. 2010 usa Landsat 7 SLC-off (docs/ADR/0005): 26,64% dos pixels da AOI têm menos de 4 observações válidas no composto de estação seca (data/interim/slc_off_2010_cobertura.csv). Métricas derivadas da classificação própria de 2010 (ou de período que usa 2010 como t0/t1) herdam essa cobertura desigual — não é um viés de comissão adicional, é ruído de amostragem de composto que pode inflar heterogeneidade espacial espúria (manchas, densidade de borda, tipologia)."
forma_urbana,aoi,2015,densidade_borda_m_ha_industrial,1.4851,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2015_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=33503. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2020,densidade_borda_m_ha_industrial,1.7343,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2020_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=51592. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2025,densidade_borda_m_ha_industrial,1.4975,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/industrial_2025_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=69443. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2000,densidade_borda_m_ha_reassentamento,,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2000_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=0. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2005,densidade_borda_m_ha_reassentamento,,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2005_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=0. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2010,densidade_borda_m_ha_reassentamento,0.1135,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2010_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=1338. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida. 2010 usa Landsat 7 SLC-off (docs/ADR/0005): 26,64% dos pixels da AOI têm menos de 4 observações válidas no composto de estação seca (data/interim/slc_off_2010_cobertura.csv). Métricas derivadas da classificação própria de 2010 (ou de período que usa 2010 como t0/t1) herdam essa cobertura desigual — não é um viés de comissão adicional, é ruído de amostragem de composto que pode inflar heterogeneidade espacial espúria (manchas, densidade de borda, tipologia)."
forma_urbana,aoi,2015,densidade_borda_m_ha_reassentamento,0.2063,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2015_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=2145. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2020,densidade_borda_m_ha_reassentamento,0.2078,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2020_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=2223. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2025,densidade_borda_m_ha_reassentamento,0.2446,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/reassentamento_2025_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=2574. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2000,densidade_borda_m_ha_urbano,1.1887,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2000_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=15604. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2005,densidade_borda_m_ha_urbano,1.7173,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2005_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=23036. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2010,densidade_borda_m_ha_urbano,1.9388,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2010_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=31404. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida. 2010 usa Landsat 7 SLC-off (docs/ADR/0005): 26,64% dos pixels da AOI têm menos de 4 observações válidas no composto de estação seca (data/interim/slc_off_2010_cobertura.csv). Métricas derivadas da classificação própria de 2010 (ou de período que usa 2010 como t0/t1) herdam essa cobertura desigual — não é um viés de comissão adicional, é ruído de amostragem de composto que pode inflar heterogeneidade espacial espúria (manchas, densidade de borda, tipologia)."
forma_urbana,aoi,2015,densidade_borda_m_ha_urbano,2.3984,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2015_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=40845. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2020,densidade_borda_m_ha_urbano,2.3588,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2020_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=43562. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
forma_urbana,aoi,2025,densidade_borda_m_ha_urbano,2.4993,m/ha,observado,A,pylandstats 3.1.0 sobre data/processed/imagery/urbano_2025_30m_32736.tif,"Landscape binário (classe=camada, res=30m), pylandstats.Landscape, neighborhood_rule='8' (padrão).","n_pixels_camada=47598. Sensível à comissão medida (acurácia do usuário 0,27-0,63, ADR 0009): comissão tende a inflar n_manchas/densidade_borda e a deprimir tamanho médio de mancha/largest_patch_index — direção declarada, magnitude não corrigida."
