unidade_geografica,ano,variavel,valor,unidade_medida,selo,nivel_fonte,fonte,metodo,nota
Mina de Moatize (Vale),2014,producao_carvao_metalurgico,3.124,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2016_a2231407z20-f.htm, exercício declarado 2016), accession 0001047469-17-002477, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746917002477/a2231407z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2014,producao_carvao_termico,1.784,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2016_a2231407z20-f.htm, exercício declarado 2016), accession 0001047469-17-002477, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746917002477/a2231407z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2015,producao_carvao_metalurgico,3.401,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2017_a2234766z20-f.htm, exercício declarado 2017), accession 0001047469-18-002777, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746918002777/a2234766z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2015,producao_carvao_termico,1.559,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2017_a2234766z20-f.htm, exercício declarado 2017), accession 0001047469-18-002777, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746918002777/a2234766z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)","valor revisado em vale_20f_2016_a2231407z20-f.htm; leitura anterior de Vale S.A., Form 20-F (arquivo vale_20f_2015_a2227496z20-f.htm, exercício declarado 2015), accession 0001047469-16-011818, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746916011818/a2227496z20-f.htm: 1.56 Mt"
Mina de Moatize (Vale),2016,producao_carvao_metalurgico,3.48,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2018_a2238479z20-f.htm, exercício declarado 2018), accession 0001047469-19-002391, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746919002391/a2238479z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2016,producao_carvao_termico,2.012,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2018_a2238479z20-f.htm, exercício declarado 2018), accession 0001047469-19-002391, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746919002391/a2238479z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2017,producao_carvao_metalurgico,6.953,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2018_a2238479z20-f.htm, exercício declarado 2018), accession 0001047469-19-002391, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746919002391/a2238479z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2017,producao_carvao_termico,4.307,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2018_a2238479z20-f.htm, exercício declarado 2018), accession 0001047469-19-002391, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746919002391/a2238479z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2018,producao_carvao_metalurgico,6.161,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2020_a2243060z20-f.htm, exercício declarado 2020), accession 0001047469-21-000687, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746921000687/a2243060z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)","[vale_20f_2019_a2240808z20-f.htm] cabeçalho da tabela em vale_20f_2019_a2240808z20-f.htm rotula mais de uma coluna como '2018' (defeito de diagramação do próprio filing, não do parser); valores brutos conflitantes encontrados nessas colunas: ['6161', '6953'] mil t — não atribuído a nenhum ano por não haver critério textual de desambiguação neste documento."
Mina de Moatize (Vale),2018,producao_carvao_termico,5.444,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2020_a2243060z20-f.htm, exercício declarado 2020), accession 0001047469-21-000687, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746921000687/a2243060z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)","[vale_20f_2019_a2240808z20-f.htm] cabeçalho da tabela em vale_20f_2019_a2240808z20-f.htm rotula mais de uma coluna como '2018' (defeito de diagramação do próprio filing, não do parser); valores brutos conflitantes encontrados nessas colunas: ['5444', '4307'] mil t — não atribuído a nenhum ano por não haver critério textual de desambiguação neste documento."
Mina de Moatize (Vale),2019,producao_carvao_metalurgico,4.032,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2021_vale-20211231x20f.htm, exercício declarado 2021), accession 0001104659-22-046078, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000110465922046078/vale-20211231x20f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2019,producao_carvao_termico,4.738,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2021_vale-20211231x20f.htm, exercício declarado 2021), accession 0001104659-22-046078, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000110465922046078/vale-20211231x20f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2020,producao_carvao_metalurgico,3.095,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2021_vale-20211231x20f.htm, exercício declarado 2021), accession 0001104659-22-046078, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000110465922046078/vale-20211231x20f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2020,producao_carvao_termico,2.783,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2021_vale-20211231x20f.htm, exercício declarado 2021), accession 0001104659-22-046078, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000110465922046078/vale-20211231x20f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2021,producao_carvao_metalurgico,3.802,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2021_vale-20211231x20f.htm, exercício declarado 2021), accession 0001104659-22-046078, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000110465922046078/vale-20211231x20f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2021,producao_carvao_termico,4.695,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2021_vale-20211231x20f.htm, exercício declarado 2021), accession 0001104659-22-046078, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000110465922046078/vale-20211231x20f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),,producao_carvao_total,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F (SEC EDGAR, CIK 0000917851)",pipeline/00_fetch/fetch_vale_20f.py — não extraído nesta execução: não há tabela equivalente localizada para esta variável,extrator cobre produção metalúrgica/térmica; capacidade nominal e empregados não têm extração implementada nesta versão
Mina de Moatize (Vale),,capacidade_nominal,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F (SEC EDGAR, CIK 0000917851)",pipeline/00_fetch/fetch_vale_20f.py — não extraído nesta execução: não há tabela equivalente localizada para esta variável,extrator cobre produção metalúrgica/térmica; capacidade nominal e empregados não têm extração implementada nesta versão
Mina de Moatize (Vale),,empregados_mocambique,não disponível,pessoas,observado,A,"Vale S.A., Form 20-F (SEC EDGAR, CIK 0000917851)",pipeline/00_fetch/fetch_vale_20f.py — não extraído nesta execução: não há tabela equivalente localizada para esta variável,extrator cobre produção metalúrgica/térmica; capacidade nominal e empregados não têm extração implementada nesta versão
Mina de Moatize (Vale),2007,producao_carvao_metalurgico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F referente ao exercício 2007 (SEC EDGAR, CIK 0000917851)",pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): nenhuma tabela de produção localizada neste 20-F nem em outro filing que reporte retrospectivamente este ano,"Tabela de produção de carvão ('Metallurgical coal:' + '(thousand metric tons)') não localizada em vale_20f_2007_y57823e20vf.htm (parser: lxml) — nenhum padrão textual conhecido (venda de ativo, mina ainda não em produção) foi localizado no documento para explicar a ausência da tabela — motivo não determinado a partir deste arquivo."
Mina de Moatize (Vale),2007,producao_carvao_termico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F referente ao exercício 2007 (SEC EDGAR, CIK 0000917851)",pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): nenhuma tabela de produção localizada neste 20-F nem em outro filing que reporte retrospectivamente este ano,"Tabela de produção de carvão ('Metallurgical coal:' + '(thousand metric tons)') não localizada em vale_20f_2007_y57823e20vf.htm (parser: lxml) — nenhum padrão textual conhecido (venda de ativo, mina ainda não em produção) foi localizado no documento para explicar a ausência da tabela — motivo não determinado a partir deste arquivo."
Mina de Moatize (Vale),2008,producao_carvao_metalurgico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F referente ao exercício 2008 (SEC EDGAR, CIK 0000917851)",pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): nenhuma tabela de produção localizada neste 20-F nem em outro filing que reporte retrospectivamente este ano,"Tabela de produção de carvão ('Metallurgical coal:' + '(thousand metric tons)') não localizada em vale_20f_2008_y75715e20vf.htm (parser: lxml) — nenhum padrão textual conhecido (venda de ativo, mina ainda não em produção) foi localizado no documento para explicar a ausência da tabela — motivo não determinado a partir deste arquivo."
Mina de Moatize (Vale),2008,producao_carvao_termico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F referente ao exercício 2008 (SEC EDGAR, CIK 0000917851)",pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): nenhuma tabela de produção localizada neste 20-F nem em outro filing que reporte retrospectivamente este ano,"Tabela de produção de carvão ('Metallurgical coal:' + '(thousand metric tons)') não localizada em vale_20f_2008_y75715e20vf.htm (parser: lxml) — nenhum padrão textual conhecido (venda de ativo, mina ainda não em produção) foi localizado no documento para explicar a ausência da tabela — motivo não determinado a partir deste arquivo."
Mina de Moatize (Vale),2022,producao_carvao_metalurgico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F referente ao exercício 2022 (SEC EDGAR, CIK 0000917851)",pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): nenhuma tabela de produção localizada neste 20-F nem em outro filing que reporte retrospectivamente este ano,Nenhuma tabela com 'Moatize' em vale_20f_2022_valeform20f_2022.htm (parser: lxml): No tables found matching regex 'Moatize' — o texto do próprio 20-F relata a venda das operações de carvão (incluindo a mina de Moatize) — ver trecho 'sale of coal operations/assets'; o exercício fiscal deste filing não tem mais Moatize como segmento reportado da Vale.
Mina de Moatize (Vale),2022,producao_carvao_termico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F referente ao exercício 2022 (SEC EDGAR, CIK 0000917851)",pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): nenhuma tabela de produção localizada neste 20-F nem em outro filing que reporte retrospectivamente este ano,Nenhuma tabela com 'Moatize' em vale_20f_2022_valeform20f_2022.htm (parser: lxml): No tables found matching regex 'Moatize' — o texto do próprio 20-F relata a venda das operações de carvão (incluindo a mina de Moatize) — ver trecho 'sale of coal operations/assets'; o exercício fiscal deste filing não tem mais Moatize como segmento reportado da Vale.
Mina de Benga,,producao_carvao_total,não disponível,Mt/ano,observado,A,"Rio Tinto plc, Form 6-K 'Operations Review' (SEC EDGAR, CIK 0000863064), accessions 0001193125-12-170807, 0001003297-12-000457, 0001003297-13-000034",pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_benga_riotinto(),"documentos localizados e baixados; no exhibit 4Q2012/FY2012 (accession 0001003297-13-000034) a tabela 'Rio Tinto share of production' reporta Benga (65% de participação), ano 2012: hard coking coal 188 mil t, thermal coal 272 mil t; a tabela 'Rio Tinto operational data', mesmo interesse 65,0%, mesmo ano, reporta: hard coking coal 289 mil t, thermal coal 419 mil t — nenhuma frase do documento identifica qual das duas é a produção total da mina (100%) e qual é a fração atribuível à Rio Tinto; sem esse critério textual, nenhum valor único é publicado. Ver docstring de extrair_producao_benga_riotinto()."
